dataset,variant,leave_one_arm_out_loss_pp,share_rows_where_arm_is_best
atlas,variant_1,0.0,0.0
atlas,variant_2,0.0,7.5e-05
atlas,variant_3,0.0,5e-05
atlas,variant_4,0.0,0.999875
helios,variant_1,3.78460232740118,0.24335333333333334
helios,variant_2,2.2099753649186673,0.24370666666666665
helios,variant_3,2.3350649353043886,0.29180666666666666
helios,variant_4,3.3523887174477935,0.22113333333333332
meadow,variant_1,2.0668341528931773,0.27728
meadow,variant_2,2.4037961017303386,0.2184
meadow,variant_3,2.25606211514963,0.28579333333333334
meadow,variant_4,2.847456461685409,0.21852666666666667
rotation,variant_01,1.5669096186526423,0.13261666666666666
rotation,variant_02,1.0309816957426816,0.1304
rotation,variant_03,1.2210446560482755,0.11630833333333333
rotation,variant_04,0.9087061998515383,0.135475
rotation,variant_05,1.197844061057455,0.15475833333333333
rotation,variant_06,1.3650330065667018,0.11246666666666667
rotation,variant_07,0.2546901403927633,0.038858333333333335
rotation,variant_08,0.7990471118535559,0.08995
rotation,variant_09,0.3555888881655123,0.055558333333333335
rotation,variant_10,0.1340705306308131,0.03360833333333333
vega,variant_1,2.141029976215029,0.2655
vega,variant_2,1.2062200897154283,0.2861666666666667
vega,variant_3,1.8125761653227903,0.23133333333333334
vega,variant_4,1.2880025714064451,0.217
zephyr,variant_1,2.9326849032651823,0.249885
zephyr,variant_2,3.1168004225275263,0.30234
zephyr,variant_3,2.364506784007056,0.22205
zephyr,variant_4,2.1997526105415983,0.225725
